Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimOcc,ClaimNb,ClaimAmount
0.4845995893,Average,old cars,Sedan,Male,oldest people,1,1,669.50999928
0.9938398357,Average,old cars,Sedan,Female,older work. people,1,1,806.6099987
0.5393566051,Cheap,old cars,Hatchback,Male,older work. people,1,1,401.80545139
0.6543463381,Average,old cars,Station wagon,Male,young people,1,2,1811.7099972
0.8514715948,Expensive,young cars,Station wagon,Male,working people,1,1,5434.4399872
0.3175906913,Average,old cars,Hatchback,Female,older work. people,1,1,865.78999901
0.3175906913,Average,youngest cars,Station wagon,Female,old people,1,1,1105.7699986
0.0711841205,Cheap,oldest cars,Hatchback,Female,old people,1,1,200.0
0.5968514716,Cheap,oldest cars,Station wagon,Female,young people,1,2,739.22999954
0.9062286105,Expensive,old cars,Motorized caravan,Male,older work. people,1,1,3230.5999985
0.6543463381,Average,old cars,Sedan,Female,old people,1,1,200.0
0.9034907598,Expensive,youngest cars,Truck,Male,youngest people,1,1,200.0
0.3394934976,Average,old cars,Station wagon,Male,youngest people,1,1,407.83999968
0.6160164271,Average,young cars,Station wagon,Female,oldest people,1,1,1619.829998
0.6160164271,Average,oldest cars,Station wagon,Male,old people,1,1,1010.9199982
0.6160164271,Average,young cars,Sedan,Female,working people,1,1,238.64000034
0.6160164271,Average,young cars,Station wagon,Female,working people,1,1,200.0
0.7501711157,Average,old cars,Panel van,Male,working people,1,1,369.17999983
0.6844626968,Cheap,old cars,Sedan,Female,working people,1,1,353.76999998
0.1916495551,Expensive,young cars,Coupe,Male,young people,1,1,989.91999817
0.6461327858,Expensive,young cars,Station wagon,Male,old people,1,1,736.84999847
0.8514715948,Expensive,youngest cars,Station wagon,Male,working people,1,1,369.14999962
0.6652977413,Average,oldest cars,Utility,Male,young people,1,1,500.0
0.8514715948,Average,youngest cars,Station wagon,Male,working people,1,1,353.76999998
0.3531827515,Average,oldest cars,Station wagon,Female,older work. people,1,1,500.0
0.925393566,Cheap,oldest cars,Sedan,Female,oldest people,1,1,1379.0399971
0.925393566,Average,old cars,Sedan,Male,working people,1,1,200.0
0.3778234086,Cheap,oldest cars,Sedan,Female,youngest people,1,1,937.55999565
0.9993155373,Cheap,oldest cars,Station wagon,Male,working people,1,2,2724.3399963
0.2464065708,Expensive,youngest cars,Sedan,Male,working people,1,1,937.27999878
0.9117043121,Average,oldest cars,Station wagon,Male,oldest people,1,1,2659.3699951
0.9062286105,Expensive,young cars,Station wagon,Male,old people,1,1,2349.3499985
0.9089664613,Cheap,oldest cars,Station wagon,Male,oldest people,1,1,367.72999954
0.5256673511,Average,young cars,Utility,Female,youngest people,1,1,462.69999886
0.9993155373,Expensive,youngest cars,Station wagon,Female,youngest people,1,1,782.3599987
0.0876112252,Average,oldest cars,Station wagon,Male,old people,1,1,353.76999998
0.9117043121,Cheap,oldest cars,Hatchback,Female,oldest people,1,1,2494.5999985
0.9089664613,Average,young cars,Hardtop,Male,older work. people,1,1,2981.8099976
0.8843258042,Expensive,oldest cars,Sedan,Female,older work. people,1,1,231.96000004
0.9062286105,Cheap,old cars,Hatchback,Female,oldest people,1,1,200.0
0.9117043121,Cheap,old cars,Sedan,Female,older work. people,1,2,1043.6999989
0.9089664613,Average,young cars,Hatchback,Female,older work. people,1,1,1114.1899986
0.9034907598,Average,young cars,Sedan,Male,young people,1,1,200.0
0.9089664613,Average,old cars,Sedan,Female,oldest people,1,1,1753.8899994
0.9034907598,Average,young cars,Station wagon,Male,working people,1,1,200.00001109
0.7173169062,Cheap,young cars,Hatchback,Female,older work. people,1,1,200.0
0.6406570842,Average,young cars,Sedan,Female,working people,1,2,1255.5399971
0.848733744,Expensive,youngest cars,Utility,Female,young people,1,1,623.44999981
0.7665982204,Average,young cars,Hatchback,Female,working people,1,1,361.98999977
0.7529089665,Cheap,old cars,Hatchback,Female,older work. people,1,1,931.32999992
0.848733744,Cheap,oldest cars,Hatchback,Female,working people,1,1,389.94999981
0.7775496235,Expensive,youngest cars,Station wagon,Male,older work. people,1,1,200.0
0.6954140999,Average,old cars,Station wagon,Female,young people,1,1,498.34999943
0.6872005476,Cheap,oldest cars,Sedan,Female,young people,1,2,400.0
0.3559206023,Cheap,oldest cars,Hatchback,Female,youngest people,1,1,353.76999998
0.1451060917,Average,youngest cars,Sedan,Female,young people,1,1,200.0
0.3422313484,Cheap,old cars,Sedan,Female,older work. people,1,1,3070.8699951
0.4024640657,Average,old cars,Hatchback,Male,old people,1,1,200.0
0.8542094456,Cheap,old cars,Sedan,Female,young people,1,1,389.94999981
0.9034907598,Cheap,oldest cars,Sedan,Male,working people,1,1,265.0
0.9034907598,Average,old cars,Sedan,Female,oldest people,1,1,620.20999908
0.5229295003,Average,young cars,Sedan,Female,oldest people,1,1,461.24999809
0.9034907598,Average,oldest cars,Station wagon,Female,working people,1,1,3682.3299942
0.5092402464,Average,young cars,Panel van,Female,working people,1,1,2458.3299942
0.2217659138,Average,oldest cars,Utility,Male,young people,1,1,353.79999971
0.2135523614,Average,young cars,Sedan,Female,youngest people,1,1,391.30999994
0.9171800137,Average,young cars,Sedan,Female,working people,1,1,782.40999985
0.900752909,Average,young cars,Hatchback,Male,oldest people,1,1,5188.3199921
0.9226557153,Average,young cars,Hatchback,Female,old people,1,1,200.0
0.8459958932,Average,youngest cars,Sedan,Female,old people,1,1,270.73999977
0.900752909,Expensive,young cars,Station wagon,Female,old people,1,1,200.0
0.3312799452,Expensive,young cars,Truck,Female,young people,1,1,389.94999981
0.7939767283,Expensive,youngest cars,Sedan,Female,older work. people,1,1,785.03999901
0.6160164271,Cheap,oldest cars,Hatchback,Male,working people,1,1,1438.2699966
0.6598220397,Expensive,old cars,Station wagon,Female,working people,1,1,1180.1099987
0.7446954141,Cheap,old cars,Sedan,Female,young people,1,1,1134.0
0.900752909,Average,youngest cars,Hatchback,Male,young people,1,1,200.0
0.2436687201,Average,old cars,Station wagon,Male,young people,1,1,2087.7799988
0.8459958932,Average,young cars,Hatchback,Female,youngest people,1,2,400.00999451
0.3312799452,Cheap,old cars,Hatchback,Female,older work. people,1,1,200.0
0.514715948,Average,youngest cars,Hatchback,Female,old people,1,1,1630.5499992
0.5256673511,Expensive,youngest cars,Station wagon,Male,young people,1,2,1642.6799965
0.900752909,Average,old cars,Sedan,Female,oldest people,1,1,696.20999908
0.9117043121,Expensive,youngest cars,Station wagon,Male,oldest people,1,1,542.64999962
0.900752909,Average,youngest cars,Sedan,Male,old people,1,1,3361.7299957
0.900752909,Cheap,old cars,Hatchback,Female,older work. people,1,1,507.8399992
0.900752909,Average,youngest cars,Sedan,Female,older work. people,1,1,367.72999954
0.900752909,Cheap,oldest cars,Sedan,Male,old people,1,1,820.78999901
0.7994524298,Average,youngest cars,Hatchback,Female,oldest people,1,1,1244.1599998
0.900752909,Expensive,old cars,Truck,Male,old people,1,1,512.0
0.900752909,Average,oldest cars,Utility,Male,youngest people,1,1,353.79999971
0.7556468172,Average,old cars,Hatchback,Female,young people,1,1,200.0
0.5831622177,Expensive,young cars,Station wagon,Female,older work. people,1,1,480.0
0.7967145791,Expensive,young cars,Utility,Male,youngest people,1,1,1864.0899963
0.6954140999,Average,old cars,Sedan,Male,working people,1,1,635.09999943
0.8459958932,Average,old cars,Station wagon,Female,working people,1,1,3682.25
0.7446954141,Cheap,old cars,Hatchback,Male,working people,1,1,367.72999954
0.6954140999,Average,young cars,Station wagon,Female,working people,1,1,4460.769989
0.219028063,Expensive,old cars,Sedan,Female,young people,1,1,200.0
0.8980150582,Cheap,oldest cars,Sedan,Female,oldest people,1,1,523.53999996
0.8459958932,Cheap,old cars,Hatchback,Female,working people,1,1,200.0
0.9199178645,Average,young cars,Sedan,Female,oldest people,1,1,403.62999964
0.2819986311,Expensive,old cars,Station wagon,Female,working people,1,1,518.17999935
0.8459958932,Expensive,youngest cars,Station wagon,Male,old people,1,1,353.76999998
0.2108145106,Cheap,old cars,Station wagon,Female,older work. people,1,1,286.37999916
0.7802874743,Average,old cars,Sedan,Female,youngest people,1,1,4791.4799957
0.5119780972,Average,oldest cars,Station wagon,Female,young people,1,1,369.14999962
0.8980150582,Cheap,oldest cars,Sedan,Male,young people,1,1,2814.5899963
0.8980150582,Cheap,old cars,Sedan,Female,older work. people,1,1,200.0
0.6324435318,Average,old cars,Sedan,Male,older work. people,1,1,200.0
0.6351813826,Cheap,oldest cars,Sedan,Female,older work. people,1,1,200.0
0.5886379192,Average,youngest cars,Station wagon,Female,working people,1,1,200.0
0.2162902122,Average,young cars,Utility,Male,young people,1,1,930.80999756
0.7830253251,Cheap,oldest cars,Truck,Male,working people,1,1,353.79999971
0.0629705681,Cheap,old cars,Sedan,Male,youngest people,1,1,200.0
0.6242299795,Average,young cars,Panel van,Male,working people,1,1,1417.2727242
0.1149897331,Average,youngest cars,Station wagon,Female,youngest people,1,1,200.0
0.8980150582,Cheap,old cars,Hatchback,Female,youngest people,1,1,1683.7799988
0.9171800137,Average,young cars,Hatchback,Female,young people,1,1,342.6400032
0.5092402464,Cheap,oldest cars,Hatchback,Female,youngest people,1,1,1820.3399963
0.2902121834,Expensive,youngest cars,Utility,Female,youngest people,1,1,2246.0229988
0.8952772074,Cheap,oldest cars,Hatchback,Female,working people,1,1,200.0
0.5092402464,Average,oldest cars,Station wagon,Male,young people,1,1,200.0
0.3011635866,Average,young cars,Sedan,Male,young people,1,1,200.0
0.7091033539,Average,young cars,Hatchback,Male,working people,1,1,1265.4499969
0.6132785763,Cheap,old cars,Sedan,Male,older work. people,1,1,1656.4299965
0.6105407255,Average,old cars,Station wagon,Male,older work. people,1,1,470.1099987
0.6132785763,Average,young cars,Sedan,Male,oldest people,1,3,4076.8199968
0.6981519507,Cheap,oldest cars,Sedan,Female,young people,1,1,420.0
0.6105407255,Cheap,old cars,Hatchback,Female,old people,1,1,1426.0099983
0.3887748118,Expensive,young cars,Station wagon,Female,old people,1,2,2212.6899981
0.386036961,Average,young cars,Station wagon,Female,older work. people,1,1,200.0
0.5092402464,Average,young cars,Sedan,Male,young people,1,1,353.76999998
0.2683093771,Average,young cars,Sedan,Female,older work. people,1,1,200.0
0.9171800137,Average,old cars,Sedan,Female,working people,1,1,200.0
0.59137577,Cheap,old cars,Hatchback,Male,old people,1,1,2669.8399963
0.5065023956,Average,old cars,Sedan,Male,young people,1,1,200.0
0.2162902122,Cheap,oldest cars,Hatchback,Female,older work. people,1,1,640.72727203
0.9911019849,Average,oldest cars,Utility,Male,youngest people,1,1,390.0
0.5065023956,Average,young cars,Hatchback,Female,young people,1,1,3105.6999969
0.2162902122,Expensive,youngest cars,Station wagon,Female,working people,1,1,1747.4399986
0.6078028747,Average,youngest cars,Sedan,Female,working people,1,1,567.14999962
0.6078028747,Cheap,oldest cars,Hatchback,Female,old people,1,1,200.0
0.2135523614,Average,youngest cars,Sedan,Male,oldest people,1,1,909.64999962
0.0602327173,Average,youngest cars,Hatchback,Male,oldest people,1,1,200.0
0.59137577,Average,young cars,Station wagon,Female,older work. people,1,1,401.04999971
0.4079397673,Average,young cars,Sedan,Female,working people,1,1,450.04999971
0.6625598905,Average,old cars,Station wagon,Female,working people,1,1,200.0
0.8377823409,Cheap,old cars,Sedan,Female,working people,1,1,3744.5399933
0.8898015058,Cheap,oldest cars,Hatchback,Male,young people,1,1,1084.7799988
0.8377823409,Average,young cars,Hatchback,Female,youngest people,1,1,389.94999981
0.8377823409,Cheap,old cars,Hatchback,Female,older work. people,1,1,372.26999998
