Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimOcc,ClaimNb,ClaimAmount
0.3039014374,1,3,Hatchback,Female,2,0,0,0.0
0.6488706365,1,2,Hatchback,Female,4,0,0,0.0
0.5694729637,3,2,Utility,Female,2,0,0,0.0
0.3175906913,3,2,Station wagon,Female,2,0,0,0.0
0.6488706365,1,4,Hatchback,Female,2,0,0,0.0
0.8542094456,2,3,Hardtop,Male,4,0,0,0.0
0.8542094456,2,3,Panel van,Male,4,0,0,0.0
0.5557837098,2,2,Hatchback,Male,6,0,0,0.0
0.3613963039,1,4,Hatchback,Female,3,0,0,0.0
0.5201916495,1,4,Hatchback,Female,4,0,0,0.0
0.8542094456,2,2,Hatchback,Male,2,0,0,0.0
0.8542094456,2,3,Hatchback,Male,4,0,0,0.0
0.4928131417,1,2,Hatchback,Female,4,0,0,0.0
0.3148528405,3,1,Station wagon,Male,5,0,0,0.0
0.4845995893,2,3,Sedan,Male,6,1,1,669.50999928
0.3915126626,2,2,Sedan,Male,4,0,0,0.0
0.9938398357,2,3,Sedan,Female,4,1,1,806.6099987
0.5393566051,1,3,Hatchback,Male,4,1,1,401.80545139
0.4517453799,1,4,Hatchback,Female,2,0,0,0.0
0.5941136208,1,3,Hatchback,Female,3,0,0,0.0
0.5941136208,2,1,Hatchback,Male,1,0,0,0.0
0.5366187543,1,4,Sedan,Male,5,0,0,0.0
0.5941136208,3,2,Station wagon,Female,2,0,0,0.0
0.59137577,2,1,Hatchback,Female,1,0,0,0.0
0.9993155373,2,2,Hatchback,Female,2,0,0,0.0
0.0301163587,2,2,Hatchback,Female,1,0,0,0.0
0.462696783,2,1,Hatchback,Female,5,0,0,0.0
0.3175906913,2,3,Hatchback,Female,2,0,0,0.0
0.2874743326,1,4,Station wagon,Male,3,0,0,0.0
0.0684462697,2,2,Hatchback,Female,2,0,0,0.0
0.5941136208,3,1,Station wagon,Female,3,0,0,0.0
0.5366187543,2,2,Sedan,Female,4,0,0,0.0
0.8542094456,1,3,Hatchback,Male,3,0,0,0.0
0.848733744,3,1,Utility,Male,2,0,0,0.0
0.4052019165,2,2,Hatchback,Male,1,0,0,0.0
0.8542094456,2,1,Sedan,Female,4,0,0,0.0
0.5776865161,2,1,Sedan,Female,4,0,0,0.0
0.4216290212,1,4,Hardtop,Female,6,0,0,0.0
0.5941136208,2,3,Truck,Male,4,0,0,0.0
0.8542094456,2,3,Station wagon,Male,3,0,0,0.0
0.6543463381,2,3,Station wagon,Male,2,1,2,1811.7099972
0.2518822724,2,2,Station wagon,Male,4,0,0,0.0
0.5366187543,1,4,Coupe,Female,4,0,0,0.0
0.4052019165,2,2,Hatchback,Female,2,0,0,0.0
0.462696783,3,1,Hardtop,Female,3,0,0,0.0
0.5366187543,2,1,Sedan,Male,6,0,0,0.0
0.8542094456,2,1,Sedan,Male,2,0,0,0.0
0.8542094456,2,2,Sedan,Female,4,0,0,0.0
0.5366187543,2,3,Hardtop,Male,4,0,0,0.0
0.2491444216,2,2,Hatchback,Female,1,0,0,0.0
0.462696783,3,1,Station wagon,Male,2,0,0,0.0
0.0958247775,2,1,Sedan,Female,3,0,0,0.0
0.3039014374,1,4,Station wagon,Male,1,0,0,0.0
0.1697467488,2,3,Sedan,Female,3,0,0,0.0
0.9062286105,1,2,Hatchback,Female,3,0,0,0.0
0.5366187543,1,4,Coupe,Male,4,0,0,0.0
0.8542094456,2,3,Station wagon,Male,5,0,0,0.0
0.5366187543,2,1,Hatchback,Female,2,0,0,0.0
0.3449691992,1,4,Sedan,Male,5,0,0,0.0
0.2491444216,1,4,Sedan,Female,1,0,0,0.0
0.9062286105,1,3,Station wagon,Female,3,0,0,0.0
0.3175906913,1,3,Hatchback,Female,3,0,0,0.0
0.9719370294,2,2,Sedan,Female,2,0,0,0.0
0.0958247775,2,1,Sedan,Female,3,0,0,0.0
0.8514715948,3,2,Station wagon,Male,3,1,1,5434.4399872
0.3175906913,2,3,Hatchback,Female,4,1,1,865.78999901
0.9062286105,1,2,Hatchback,Female,5,0,0,0.0
0.9062286105,1,2,Hatchback,Female,1,0,0,0.0
0.3531827515,1,3,Hatchback,Female,2,0,0,0.0
0.8542094456,2,2,Hatchback,Female,3,0,0,0.0
0.0930869268,1,4,Coupe,Male,2,0,0,0.0
0.0301163587,2,2,Hatchback,Male,5,0,0,0.0
0.0301163587,1,3,Sedan,Female,3,0,0,0.0
0.6735112936,2,4,Utility,Female,3,0,0,0.0
0.0465434634,2,1,Hatchback,Male,6,0,0,0.0
0.8542094456,2,1,Hatchback,Male,1,0,0,0.0
0.0958247775,2,4,Station wagon,Male,3,0,0,0.0
